CosechaID,FechaID,FechaCosecha,FundoID,ParcelaID,CuadrillaID,ProductorID,LoteCampoID,Campania,KgCosechados,KgRechazadosCampo,HorasHombre,CostoCosechaSoles
9,20220812,2022-08-12,FND0001,PAR00002,CUAD008,PROD001,LC-2022-000009,2022,10929.98,749.31,117.65,8599.64
15,20221020,2022-10-20,FND0001,PAR00002,CUAD002,PROD001,LC-2022-000015,2022,20643.6,523.02,205.38,16606.49
20,20220528,2022-05-28,FND0001,PAR00003,CUAD008,PROD001,LC-2022-000020,2022,3304.46,222.1,55.1,3379.29
34,20220923,2022-09-23,FND0001,PAR00003,CUAD005,PROD001,LC-2022-000034,2022,4922.05,234.65,58.19,3816.04
36,20221014,2022-10-14,FND0001,PAR00003,CUAD015,PROD001,LC-2022-000036,2022,6713.69,248.39,68.64,4754.78
48,20220819,2022-08-19,FND0001,PAR00004,CUAD017,PROD001,LC-2022-000048,2022,1849.81,29.07,20.28,1836.4
51,20220930,2022-09-30,FND0001,PAR00004,CUAD004,PROD001,LC-2022-000051,2022,10425.24,530.53,173.63,7097.54
60,20220620,2022-06-20,FND0002,PAR00006,CUAD009,PROD002,LC-2022-000060,2022,12648.34,622.85,118.09,9780.45
64,20220709,2022-07-09,FND0002,PAR00006,CUAD008,PROD002,LC-2022-000064,2022,1545.01,78.31,12.09,991.08
69,20220830,2022-08-30,FND0002,PAR00006,CUAD003,PROD002,LC-2022-000069,2022,8727.39,346.88,99.99,6807.0
71,20220913,2022-09-13,FND0002,PAR00006,CUAD002,PROD002,LC-2022-000071,2022,6294.42,201.71,86.14,6802.71
84,20221010,2022-10-10,FND0002,PAR00007,CUAD002,PROD002,LC-2022-000084,2022,6501.34,402.49,158.01,4758.92
96,20220919,2022-09-19,FND0003,PAR00010,CUAD011,PROD003,LC-2022-000096,2022,18518.6,668.76,281.27,11677.69
100,20221124,2022-11-24,FND0003,PAR00010,CUAD001,PROD003,LC-2022-000100,2022,11239.3,719.23,197.53,10285.57
102,20220617,2022-06-17,FND0004,PAR00011,CUAD004,PROD004,LC-2022-000102,2022,2822.37,193.92,39.78,2571.68
103,20220714,2022-07-14,FND0004,PAR00011,CUAD017,PROD004,LC-2022-000103,2022,15585.93,1107.18,389.65,15474.28
